binomial,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024
Capreolus capreolus,137758587700.193,136277765384.149,137234203906.671,136192020388.327,135570059566.178,135447333738.297,134511022755.206,135611876942.259,134663577104.488,133850695313.271,134096305794.353,134150524548.975,133977555562.882,132836674606.105,133114562375.786,132422700755.976,133289063451.321,131537503321.367,131433026283.901,131546565501.398,132729635392.548,132150430917.553,130605166947.302,131418538383.569,131582276602.604
Capreolus pygargus,11675349407.6034,11689887819.4041,11564519560.419,11573505035.343,11508919467.5606,11541798494.0565,11537817811.8919,11527260531.3477,11466258669.3886,11429848084.0861,11382912586.6804,11443399242.8353,11420189846.0745,11389932840.013,11329192041.9774,11337982118.372,11275348656.9795,11274308741.9675,11256364618.4198,11249129409.002,11265313354.8318,11216494440.4969,11151241517.7896,11205477255.8875,11216355419.0301
Capricornis crispus,1789381694.01688,1788064633.90145,1787974073.26705,1782161393.58497,1774223619.36459,1771226744.40691,1770257775.984,1764022327.78776,1769902072.18181,1757836022.2275,1751925994.06191,1744974856.23059,1750272826.03667,1741020405.11462,1747218680.81333,1738639852.43252,1728445258.11222,1733370574.61524,1733932659.53367,1732117588.81941,1718604489.51344,1714997572.89073,1711403564.30126,1723788405.36297,1713550658.66323
Capricornis rubidus,5147102724.46908,5162712085.30879,5128738077.04564,5129052031.24759,5108535375.82676,5113482605.40034,5092633866.84497,5087641348.6707,5050022341.2538,5068974324.22642,5049992261.44892,5039576733.64537,5018900271.86922,5011486108.39869,5004077338.51396,5001104357.92216,4961329331.63603,4983102765.93373,4965747481.79729,4955047693.59422,4940857021.31038,4948995290.53324,4962668838.11655,4939913380.25093,4943166848.39678
Capricornis sumatraensis,4454993571.61901,4442141076.97821,4446796203.10113,4413978960.68411,4420702161.8154,4406129207.05288,4387318165.35123,4384111306.01117,4370940655.3939,4364674635.14858,4364748782.58438,4359572605.48,4338383228.43715,4324952517.35194,4321314671.56431,4302124913.91319,4311600598.2037,4301096307.06904,4278127518.29876,4282079268.09992,4277006966.96838,4291206587.01221,4265241855.1163,4265813882.0182,4279106787.07592
Capricornis swinhoei,1560197817.32288,1553754397.64257,1557103386.06413,1553362489.40317,1547369784.91142,1544346514.11536,1540829961.94686,1534074546.86419,1535365602.97785,1528952382.22832,1526686586.00759,1527070435.38623,1520688691.93951,1516064862.49555,1512026736.73904,1514112495.54872,1509299237.54863,1504920017.34258,1499235933.74321,1501546759.05144,1496839333.31518,1494397070.67658,1499288677.40416,1497927492.48407,1493045112.34241
Cephalophus adersi,44901868.2119344,44985549.7741335,44437307.6283373,44299520.7770777,44433238.4895521,44323793.4187754,44462803.5536199,44342305.2987593,43905010.2810508,43866801.6197247,43997570.959612,43794715.5230541,43680057.357504,43409738.2380076,43498457.4819941,43502919.9195379,43198663.0157482,43241299.5929225,43133123.6836069,42978715.4549278,42891795.7860787,43044527.0330954,43003657.0023769,42814555.371009,42668601.3851441
Cephalophus callipygus,1986856299.40754,1985981255.06001,1965849407.41074,1965403349.90357,1975066302.03589,1957673959.25475,1958974580.43962,1962881166.62783,1962948264.45086,1973355546.43392,1940372075.21863,1953735092.93142,1939182223.30984,1931747974.19549,1927294946.80327,1922367196.58745,1921326623.03739,1902663688.25314,1930050035.36791,1920426046.17772,1911961812.32449,1912415416.8346,1917115330.07006,1905686682.11876,1907895835.72206
Cephalophus dorsalis,3775881063.601,3713186670.54017,3722121949.88881,3707303970.19325,3715677943.48067,3700311249.41672,3664162555.62581,3690375491.38132,3702249256.01657,3672977747.86699,3654554955.94908,3660984728.37405,3670813582.16714,3620993584.88743,3630801016.27106,3607079194.6921,3628852256.32593,3583156383.67965,3598768923.06052,3570076783.84903,3610728569.75846,3568312988.26452,3577849778.65843,3595410507.13303,3571732829.17161
Cephalophus harveyi,1111592343.95466,1108431709.70517,1108774950.62738,1104923254.55121,1101226209.34969,1099581450.4611,1096687897.67138,1094829508.61749,1088737330.22649,1091316578.0572,1086128348.76657,1089622010.15884,1080966088.18544,1082092846.09907,1079355639.96729,1076920006.66292,1073212532.66604,1073842327.15312,1072147013.05654,1068986153.1681,1070825141.52096,1066293545.74652,1066841269.36639,1065241548.46963,1067071549.43829
Cephalophus jentinki,61847368.1383182,61246704.1355475,61529925.9531403,61284848.8419211,61869532.8788647,61341130.5742189,61006421.1626294,60943444.853768,60909081.6961389,60753257.2216492,60561837.8645245,60643433.2038812,59872972.492116,60299928.1443872,60310928.2064751,60456623.8931288,59866018.023431,59754347.0112165,59452012.4391231,59273074.2875604,59482522.0228776,59491849.2755838,59194337.9672192,59484780.730356,59587283.5627681
Cephalophus leucogaster,994985997.669955,989433895.769087,994026226.676862,992693881.195384,983462840.475036,983346354.163796,979582434.468326,988372862.306282,978368745.769317,975458156.070196,971936220.957366,970068038.496337,971442048.167138,961796276.627306,963585762.910045,968203497.164194,963535268.507047,955845995.348467,964274405.53818,964359396.10359,960842825.423156,950262297.699641,953342601.681495,954030142.385157,957427154.76838
Cephalophus natalensis,134301769.563032,133298074.858452,133637955.170457,132809178.823956,132157766.737244,132080887.392238,131381893.108013,131917651.000923,131958093.761081,131783568.677462,131733961.779057,131766221.910946,130223654.724516,130948804.39079,130199130.495723,129176641.299314,129913155.695673,129562334.889203,128771635.52862,129878647.445508,128571769.898165,128611806.542545,129073871.712956,129049204.356509,128709123.283074
Cephalophus niger,517926074.636866,516001821.531568,515767170.303036,510134584.185519,507602494.64279,512071324.017267,511540434.833137,505892629.167756,507876070.003851,505455211.99191,505751445.73984,506071207.446989,502582590.792218,500785707.727389,498980243.118813,500550639.903013,500664674.263774,500351506.979155,498290411.65507,498280718.57533,494236537.592403,495733772.055745,494490744.76805,494328242.46141,489825575.229653
Cephalophus nigrifrons,1157154370.20737,1157685645.35576,1155320244.16467,1152046598.16409,1158395315.12516,1146943374.47452,1147704682.52981,1134629197.2582,1138788634.98271,1138882225.94353,1132075066.87259,1134243007.3625,1124675697.65776,1125847356.16702,1130542524.32379,1125604694.38535,1121058119.85625,1117989405.61964,1118379252.55082,1106304260.42302,1113525580.47828,1110506081.43876,1104854319.97386,1111584260.84711,1105054743.52358
Cephalophus ogilbyi,163853739.103022,163784861.393491,163263835.37694,162376184.81658,162624408.803997,161116643.849451,161718470.261866,160888951.924088,161473449.295325,160383400.878947,161037098.887935,160874864.444274,159541675.437556,159385157.818977,159162381.321297,158359724.668988,159022360.435708,157692244.671884,157624821.775809,159042724.114067,156729649.963635,158281544.45984,156703312.79984,156188213.157138,156277981.984441
Cephalophus rufilatus,508234738.53759,504154074.220596,506240832.10387,504036515.905815,497101854.07261,499873393.599417,497926075.844613,497033061.925642,496931229.872669,498435559.437978,494609194.772914,492443688.271875,493329453.555388,493175874.552724,491037434.576587,486902767.769456,490199793.65934,483044763.504568,488872411.345677,482167603.98133,488515398.715892,485475057.663832,484615052.564723,484172963.186204,483193937.579935
Cephalophus silvicultor,3092197082.59377,3098474542.61919,3090901249.09989,3079644627.3249,3057432181.96692,3064481809.17499,3066874901.29395,3048093699.70907,3013972854.44672,3044330831.99502,3036314692.20146,3016234702.3044,3007657870.53232,3009204405.76422,3004343083.70435,3001306656.86222,2999819897.74744,2964934100.48707,2991426610.81965,2963013383.13163,2974905517.06464,2966985876.60242,2939439379.0459,2956218207.42636,2959013779.24193
Cephalophus spadix,35862476.5772585,35723870.3430653,35762018.5690333,35544949.1726149,35543625.7596426,35621469.4045335,35338509.917168,35533959.8195162,35239944.4408403,35202152.522611,35119347.2099468,34941835.9854786,34991703.8544107,34959961.011384,34948767.1328992,34693070.6145283,34651890.4601854,34448435.1593173,34426011.1157135,34412465.3827655,34521565.0538566,34383900.485448,34191956.9142794,34323267.4453358,34518588.6022654
Cephalophus weynsi,847419204.664054,851737248.307989,848308660.594607,845735922.050079,842181018.867605,839898243.211379,836959854.574366,831805052.492441,840244491.091406,834096544.153066,834019797.865865,825333710.30501,826732112.351703,826743873.524635,822350292.278683,828799845.383644,824920843.417257,826720828.284033,821296808.460048,824047843.123937,817774806.311051,815579071.078285,818348642.711138,816919059.784202,817403544.517575
Cephalophus zebra,64266929.8651038,63883253.148097,63751984.5545462,63907559.7029686,63496523.6983674,63183514.1578234,63308393.0355636,62887927.1438968,63289702.4447936,62784567.2284565,62778203.9874391,62815325.3992951,62743357.1626154,62240752.422466,62271455.8027845,61765111.4643776,61938731.9662515,61908187.1734385,61621463.2238327,61821908.3890275,61807566.9222808,61648505.0114269,61573125.0478714,61404277.8654086,61546291.6643626
Cervus albirostris,246163434.491765,245517893.804828,244221470.160989,245126333.683064,245406576.750946,245709373.624169,241876449.044261,242738608.924483,242597750.731395,241745895.366875,241114592.264437,240773301.290064,239373722.177217,239999406.569043,239582418.811157,239157717.619183,238012938.497199,236215684.19047,237537836.018422,237960803.208011,235592113.064646,235109135.573704,236153633.253339,235225231.975769,234534566.501259
Cervus canadensis,99592294662.1904,99796983263.7599,99390418874.1526,99365409442.7143,99756079428.4522,98832926922.6469,98649273367.1434,99075562588.6618,98001747709.4164,98878624093.3254,97823821134.931,97132323518.0724,97774980841.683,97729791594.8505,96352224071.0538,96950318790.0696,96565410009.8055,96460241706.1439,97044614580.4494,96087774851.6416,95197345267.6157,96939060544.7225,96138238037.5135,95211513717.1563,96312790789.4978
Cervus elaphus,194115959745.901,193085391771.584,192362218721.893,191642999329.125,191231593473.857,191032486056.161,192354762535.007,190540373256.565,190145003051.294,189658208030.149,190154239959.432,188660864211.591,188579966450.285,188656657790.394,187152120107.331,188769046549.205,188226642819.837,185958141491.397,185298367422.696,185651261774.595,185481928427.408,184313996187.122,185730927006.376,185783996679.582,184160084534.582
Cervus hanglu,209538019.925281,208105695.033203,208514993.000765,208770065.737951,206978950.65254,207193707.424431,206035490.447944,206822111.846401,206851102.916525,204873292.162369,204847646.779779,204977550.121114,203188246.505887,204131466.607741,203962207.765405,202307341.350439,202256617.3776,201113483.040196,200058908.513122,201882681.437814,201028544.522275,201350469.108766,199451541.581706,198917958.444999,199894349.796418
Cervus nippon,8378599427.08654,8363899465.78553,8350287094.58577,8318559887.4479,8314432275.54487,8266119389.82993,8259100470.03271,8241800943.89809,8225414895.21155,8213427816.07306,8216962736.63074,8164242165.62474,8155132169.37521,8142220447.17035,8128122096.15417,8138349759.80957,8095016555.0824,8073498199.77888,8078349114.87778,8069255223.0599,8052503776.8592,8054905503.03099,8030807627.61825,8028180948.04921,8027909954.8968
Connochaetes gnou,610864437.079894,610578642.967072,609722765.772895,604372747.340385,606866496.733826,606956029.12005,606803474.247117,602574931.790688,597816875.310436,594195865.493227,600019862.467911,600962205.11299,593914325.219726,598165056.275761,592481999.02462,592151426.689003,588357617.825455,589413412.534675,588216776.049257,587077952.819675,590573757.207462,586597633.797359,587086296.237895,585989330.626814,587044112.7701
Connochaetes taurinus,98596640001.1949,98628837459.4113,98419500204.0474,98802236527.3023,97907968523.688,97723034047.1018,97327868199.4398,97891715541.2722,97691215313.9883,97409030765.5389,97009544356.4716,96385832865.5875,96604894765.8364,95869814738.6938,95918078324.94,95608071361.5116,95172786954.5855,95683485781.3616,96116439654.8488,94641177180.8086,95217926646.8638,94410377232.5581,94676092276.8561,94426466552.1993,94569190986.0558
Dama dama,32856282087.6422,32955954885.019,32797965333.2818,32740598818.956,32654822750.2189,32560153563.9882,32486129515.686,32471542884.1837,32407592896.8342,32313049636.6886,32305929721.8567,32192140579.9145,32150063100.4641,31986383412.5079,32029075361.0122,31855976578.4781,31884804723.6322,31730754862.6928,31718414391.9881,31674680599.2507,31600893306.8809,31667915356.0523,31585658638.2482,31550918928.1908,31590568364.4996
Dama mesopotamica,112422681.972788,112213038.141506,111603590.861558,111656854.232262,111140325.642027,111408278.88507,110791410.407652,110528759.00418,110540207.458961,109826270.609521,110335549.34886,109735183.492493,109573454.765144,108994487.83133,108854975.869998,108726075.948977,108778050.136165,108336048.161077,108313193.350045,108124002.151634,108185645.27343,107687886.094065,107394606.1067,107458297.593877,107581658.550226
Damaliscus lunatus,13414805907.7222,13277246807.7463,13239350059.8942,13228312258.2133,13224346055.7922,13109460330.8028,13163579065.2002,13054072369.932,13022723115.6686,13079360338.6417,13113155086.0002,13010297716.7706,12999196568.6555,12884462492.4591,12952569530.8028,12951851896.4727,12939048972.5548,12863398222.6507,12883368543.7738,12712699433.349,12791855352.2411,12618520940.5169,12871685491.974,12827337823.2216,12832796792.5336
Damaliscus pygargus,5475084254.43697,5468934948.03943,5460483462.74906,5494679295.12453,5426714970.41058,5436590937.30772,5413762938.08966,5417922724.83697,5405753920.25358,5413680062.9648,5405655800.33369,5338859723.63128,5355452551.46101,5332901832.52012,5346385945.69185,5334478481.832,5281967378.58382,5298331689.59331,5283475740.02319,5286302096.81256,5267227069.78125,5277778749.55373,5250872375.6604,5242918610.12088,5280584528.67212
Dorcatragus megalotis,30130278.9497655,29701743.0138885,29867334.8341677,29747707.9597103,29773337.9289103,29888681.844959,29389927.982696,29538941.5875539,29701264.0022403,29423997.8120904,29195253.6373031,29306690.8380938,29280452.5989914,29198887.3437402,29144914.0322915,29165882.8801615,29137847.0768079,28861509.8244517,28983243.6612602,28904255.7518481,28796177.0640311,28901921.6358319,28819474.7417078,28731447.8370099,28733647.5557662
Elaphodus cephalophus,2544549472.19361,2524455755.14044,2537693023.98944,2541673793.23894,2534410853.57841,2522216769.24279,2513519254.31058,2502877113.99964,2499781947.6601,2495569399.70384,2483106239.93664,2483082351.33932,2476933352.10072,2482280389.37457,2489143822.73824,2468117917.41721,2462575892.76442,2456308300.2167,2459974390.62448,2433608208.46557,2454793200.82384,2447495707.75512,2438456684.10316,2432544502.70707,2436589588.57583
